id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
2468,Prince of Persia: The Forgotten Sands,https://www.igdb.com/g/1wk,6.796352524614573,Main Game,"[""May 18, 2010 (North America [NA])"", ""Jun 03, 2010 (Australia [AU])"", ""Jun 08, 2010 (North America [NA])"", ""May 20, 2010 (Australia [AU])"", ""May 18, 2010 (North America [NA])"", ""Jun 04, 2010 (Europe [EU])"", ""May 20, 2010 (Europe [EU])"", ""May 20, 2010 (Australia [AU])"", ""May 20, 2010 (Europe [EU])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action"", ""Fantasy"", ""Historical""]","[""Ubisoft Montreal"", ""Ubisoft Singapore"", ""Ubisoft Entertainment""]",
570,Prototype,https://www.igdb.com/g/fu,7.392527470945175,Main Game,"[""Aug 12, 2015 (North America [NA])"", ""Jun 12, 2009 (Europe [EU])"", ""Jun 09, 2009 (North America [NA])"", ""Jun 12, 2009 (Europe [EU])"", ""Jun 12, 2009 (Europe [EU])"", ""Jul 14, 2015 ()"", ""Jun 09, 2009 (North America [NA])"", ""Jul 14, 2015 ()"", ""Jun 09, 2009 (North America [NA])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""Xbox One"", ""Xbox 360""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action"", ""Horror"", ""Open world"", ""Sandbox"", ""Stealth"", ""Survival""]","[""Activision"", ""Radical Entertainment""]",
2988,Prototype 2,https://www.igdb.com/g/2b0,7.048750419318246,Main Game,"[""Jul 14, 2015 ()"", ""Apr 27, 2012 (Europe [EU])"", ""Apr 27, 2012 (Europe [EU])"", ""Aug 12, 2015 (North America [NA])"", ""Jul 24, 2012 (Worldwide [WW])"", ""Jul 14, 2015 ()"", ""Apr 24, 2012 (North America [NA])"", ""Apr 24, 2012 (North America [NA])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""Xbox One"", ""Xbox 360""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action"", ""Horror"", ""Open world"", ""Sandbox"", ""Science fiction"", ""Survival""]","[""Activision"", ""Radical Entertainment""]",
18822,Pyre,https://www.igdb.com/g/eiu,8.154467080698241,Main Game,"[""Jul 25, 2017 (Worldwide [WW])"", ""Aug 03, 2017 (Worldwide [WW])"", ""Jul 25, 2017 (Worldwide [WW])"", ""Jul 25, 2017 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""PlayStation 4"", ""Linux""]","[""Adventure"", ""Indie"", ""Role-playing (RPG)"", ""Visual Novel""]","[""Action"", ""Fantasy""]","[""Supergiant Games""]",
333,Quake,https://www.igdb.com/g/99,8.259806187779244,Main Game,"[""Oct 2005 (Worldwide [WW])"", ""Jun 22, 1996 (Worldwide [WW])"", ""1998 (Europe [EU])"", ""1998 (North America [NA])"", ""Jun 22, 1996 (Worldwide [WW])"", ""Jul 05, 1996 (Worldwide [WW])"", ""Aug 28, 1997 (North America [NA])"", ""Oct 31, 1997 (North America [NA])"", ""May 25, 2009 (Brazil [BR])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Legacy Mobile Device"", ""Zeebo"", ""Sega Saturn"", ""Linux"", ""Amiga"", ""DOS""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""MacSoft Games"", ""Sega"", ""GT Interactive Software"", ""Lobotomy Software"", ""Lion Entertainment"", ""Bear Naked Productions"", ""Pulse Interactive"", ""PXL computers"", ""id Software"", ""clickBOOM""]",
356,Quake 4,https://www.igdb.com/g/9w,7.455168261655233,Main Game,"[""Aug 04, 2011 (Worldwide [WW])"", ""Apr 14, 2006 (North America [NA])"", ""Oct 20, 2005 (Worldwide [WW])"", ""Oct 18, 2005 (North America [NA])"", ""Oct 21, 2005 (Europe [EU])"", ""May 16, 2006 (Europe [EU])"", ""Nov 18, 2005 (North America [NA])"", ""Dec 02, 2005 (Europe [EU])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Linux""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Raven Software"", ""Activision"", ""id Software"", ""Bethesda Softworks"", ""Aspyr Media""]",
286,Quake II,https://www.igdb.com/g/7y,8.266779341932814,Main Game,"[""Oct 09, 2002 (Europe [EU])"", ""Dec 09, 1997 (Worldwide [WW])"", ""Sep 30, 1999 ()"", ""May 25, 2009 (Brazil [BR])""]","[""PC (Microsoft Windows)"", ""Zeebo"", ""Amiga"", ""PlayStation""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction""]","[""Macmillan Digital Publishing"", ""Hammerhead"", ""Hyperion Entertainment"", ""id Software"", ""TecToy"", ""Logicware"", ""Activision""]",
355,Quake III Arena,https://www.igdb.com/g/9v,8.251520383829815,Main Game,"[""Oct 22, 2000 (North America [NA])"", ""Dec 08, 2000 (Europe [EU])"", ""Dec 15, 2010 (Worldwide [WW])"", ""Dec 02, 1999 (North America [NA])"", ""Dec 27, 1999 (North America [NA])"", ""Dec 27, 1999 (Europe [EU])"", ""Dec 10, 1999 (North America [NA])""]","[""Dreamcast"", ""Mac"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Linux""]","[""Shooter""]","[""Action"", ""Science fiction""]","[""Electronic Arts"", ""Sega"", ""Loki Software"", ""id Software"", ""Activision"", ""No Cliché"", ""Raster Productions"", ""Pi Studios"", ""Bullfrog Productions""]",
19530,Quake Champions,https://www.igdb.com/g/f2i,7.171739842834436,Main Game,"[""Aug 22, 2017 (Worldwide [WW])"", ""Aug 18, 2022 (Worldwide [WW])""]","[""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Science fiction""]","[""id Software"", ""Bethesda Softworks"", ""Saber Interactive""]",
6578,Quake Live,https://www.igdb.com/g/52q,7.822997222957294,Main Game,"[""Aug 06, 2010 ()""]","[""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Science fiction""]","[""id Software""]",
